epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9346,0.94901,2.19771,1.53293,0.00328,0.9661,0.57579,0.25929,1.31176,3.2353,1.93933,0.00058,0.00058,0.00058
2,49.1089,0.93534,1.50692,1.52591,0.2787,0.49153,0.31326,0.10684,1.98021,3.24091,3.73257,0.00115664,0.00115664,0.00115664
3,60.1621,0.99389,1.37881,1.55464,0.12897,0.23729,0.085,0.02425,2.57899,4.3495,3.9697,0.00170951,0.00170951,0.00170951
4,71.1432,1.00136,1.30552,1.57524,0.3473,0.47458,0.37329,0.12086,2.15274,3.15543,3.65966,0.0018812,0.0018812,0.0018812
5,80.1048,0.99565,1.22024,1.57095,0.30933,0.47458,0.30095,0.113,1.80657,2.37244,2.70709,0.0018416,0.0018416,0.0018416
6,91.2741,1.02415,1.18019,1.60651,0.5403,0.69724,0.63561,0.34456,1.277,1.92264,2.12399,0.001802,0.001802,0.001802
7,101.914,1.00767,1.10164,1.56487,0.25598,0.71186,0.26036,0.07758,1.74098,2.69599,2.71799,0.0017624,0.0017624,0.0017624
8,111.256,0.9649,1.03492,1.56032,0.47972,0.40678,0.45235,0.11407,2.42127,2.92597,3.33146,0.0017228,0.0017228,0.0017228
9,122.17,0.93875,1.00126,1.53758,0.73953,0.79661,0.81747,0.4767,1.55158,1.68087,2.38543,0.0016832,0.0016832,0.0016832
10,133.419,0.94566,1.0198,1.50711,0.8467,0.65536,0.77995,0.48008,1.37869,1.27114,2.10826,0.0016436,0.0016436,0.0016436
11,142.59,0.90844,0.9557,1.49962,0.87098,0.80099,0.83708,0.53899,1.18251,0.90541,2.06892,0.001604,0.001604,0.001604
12,153.668,0.97514,0.94162,1.56138,0.56176,0.84732,0.73508,0.48716,1.21705,1.15512,1.79255,0.0015644,0.0015644,0.0015644
13,164.848,0.93963,0.95272,1.50542,0.45644,0.55932,0.52356,0.24127,1.999,1.8379,2.60825,0.0015248,0.0015248,0.0015248
14,174.308,0.88945,0.8872,1.49018,0.89178,0.84746,0.86121,0.58437,1.1228,1.02919,1.79199,0.0014852,0.0014852,0.0014852
15,185.032,0.88676,0.87535,1.4846,0.81059,0.87046,0.86365,0.64167,1.0266,0.83866,1.76263,0.0014456,0.0014456,0.0014456
16,196.892,0.8479,0.83424,1.4425,0.88896,0.77966,0.87036,0.53934,1.2395,1.07233,1.99098,0.001406,0.001406,0.001406
17,206.299,0.8698,0.82976,1.49517,0.76691,0.74576,0.74046,0.28632,1.82606,1.53773,2.35518,0.0013664,0.0013664,0.0013664
18,217.091,0.89099,0.87463,1.47861,0.72618,0.80915,0.83166,0.58667,1.08344,1.05172,1.75293,0.0013268,0.0013268,0.0013268
19,228.077,0.82087,0.7745,1.4366,0.829,0.86441,0.8791,0.57016,1.21789,1.06474,1.97805,0.0012872,0.0012872,0.0012872
20,237.011,0.86354,0.79356,1.45316,0.76154,0.70376,0.74507,0.54269,1.10528,1.17612,1.72293,0.0012476,0.0012476,0.0012476
21,247.854,0.83913,0.80221,1.44038,0.83601,0.83051,0.82101,0.59216,1.01642,0.89015,1.70982,0.001208,0.001208,0.001208
22,258.85,0.80717,0.76686,1.42485,0.88045,0.83051,0.86775,0.59757,1.09664,0.85622,1.79019,0.0011684,0.0011684,0.0011684
23,268.15,0.85027,0.77352,1.43318,0.86018,0.83051,0.87304,0.58518,1.13407,0.82247,1.73681,0.0011288,0.0011288,0.0011288
24,279.175,0.79077,0.7208,1.42192,0.89312,0.79661,0.89109,0.6152,1.14002,0.89993,1.74575,0.0010892,0.0010892,0.0010892
25,290.309,0.79855,0.75174,1.41132,0.87215,0.88136,0.89687,0.58664,1.20325,0.95319,1.74498,0.0010496,0.0010496,0.0010496
