epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4927,0.93595,1.95029,1.53571,0.00339,1,0.81227,0.51464,0.99853,2.82146,1.70837,0.00058,0.00058,0.00058
2,23.8225,0.9349,1.43936,1.52414,0.4374,0.5008,0.45776,0.19768,1.05048,2.54698,1.99923,0.00115664,0.00115664,0.00115664
3,32.9019,0.99142,1.33762,1.55459,0.35281,0.57627,0.37415,0.16854,1.70822,2.35466,2.58241,0.00170951,0.00170951,0.00170951
4,42.0835,0.99474,1.27677,1.56188,0.64922,0.53337,0.55992,0.26166,1.73725,2.14175,2.64385,0.0018812,0.0018812,0.0018812
5,52.131,0.99558,1.19273,1.56441,0.58298,0.78193,0.66488,0.38659,1.49902,2.08836,2.40095,0.0018416,0.0018416,0.0018416
6,60.4393,0.94912,1.11317,1.53412,0.37035,0.45763,0.36835,0.16325,2.20825,1.96255,2.66344,0.001802,0.001802,0.001802
7,70.5925,0.99619,1.09369,1.54636,0.54345,0.46412,0.45786,0.24432,1.84112,1.80979,2.57728,0.0017624,0.0017624,0.0017624
8,79.8524,0.98216,1.03116,1.54962,0.62256,0.72881,0.71899,0.213,2.10059,1.72132,3.01657,0.0017228,0.0017228,0.0017228
9,89.5113,0.95756,0.99517,1.53622,0.45969,0.47458,0.42894,0.16791,1.7134,2.61171,2.25106,0.0016832,0.0016832,0.0016832
10,99.8646,0.91608,0.98535,1.47176,0.69259,0.79661,0.78646,0.52872,1.12495,1.44469,1.89333,0.0016436,0.0016436,0.0016436
11,108.034,0.88492,0.90546,1.46569,0.85882,0.72881,0.85591,0.51808,1.3927,0.96357,2.01647,0.001604,0.001604,0.001604
12,118.63,0.9557,0.92685,1.53163,0.91293,0.71091,0.81723,0.4685,1.50643,1.29297,2.16224,0.0015644,0.0015644,0.0015644
13,128.88,0.894,0.93153,1.47406,0.84283,0.77966,0.82514,0.45351,1.46923,1.41107,2.28235,0.0015248,0.0015248,0.0015248
