number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_img_size,params_lr,params_weight_decay,state
0,0.9296116504854369,2026-06-22 10:56:50.630240,2026-06-22 11:06:11.580595,0 days 00:09:20.950355,16,0.16239780813448107,224,0.0001329291894316216,4.2079886696066345e-06,COMPLETE
1,0.9368932038834952,2026-06-22 11:06:11.633397,2026-06-22 11:14:44.030933,0 days 00:08:32.397536,32,0.17272998688284025,256,0.001331121608073689,7.068974950624607e-06,COMPLETE
2,0.9199029126213593,2026-06-22 11:14:44.078560,2026-06-22 11:23:05.836867,0 days 00:08:21.758307,32,0.2465447373174767,224,0.00019762189340280086,1.4742753159914662e-05,COMPLETE
3,0.9344660194174758,2026-06-22 11:23:05.871568,2026-06-22 11:31:22.406101,0 days 00:08:16.534533,64,0.12602063719411183,224,0.0003489018845491386,4.809461967501575e-06,COMPLETE
4,0.9199029126213593,2026-06-22 11:31:22.443936,2026-06-22 11:39:47.653084,0 days 00:08:25.209148,32,0.29807076404450805,224,8.200518402245828e-05,3.0771802712506896e-06,COMPLETE
5,0.9538834951456311,2026-06-22 11:39:47.687894,2026-06-22 11:47:59.110809,0 days 00:08:11.422915,64,0.48783385110582345,224,0.0009717775305059633,5.4880470007660465e-06,COMPLETE
6,0.9466019417475728,2026-06-22 11:47:59.162723,2026-06-22 11:56:59.514010,0 days 00:09:00.351287,16,0.23013213230530574,256,0.0006218704727769079,1.5167330688076198e-06,COMPLETE
7,0.912621359223301,2026-06-22 11:56:59.553362,2026-06-22 12:05:04.898492,0 days 00:08:05.345130,32,0.12982025747190834,192,0.00011756010900231849,0.0016172900811143157,COMPLETE
8,0.8786407766990292,2026-06-22 12:05:04.944481,2026-06-22 12:13:39.915575,0 days 00:08:34.971094,16,0.12961786069363615,256,1.0388823104027935e-05,0.0012164139351417069,COMPLETE
9,0.9587378640776699,2026-06-22 12:13:39.950257,2026-06-22 12:22:04.042570,0 days 00:08:24.092313,16,0.39184247133522565,224,0.0007411299781083245,1.99863407785289e-05,COMPLETE
10,0.7912621359223301,2026-06-22 12:22:04.088816,2026-06-22 12:30:21.626841,0 days 00:08:17.538025,16,0.472916136764715,192,0.007796721684852836,9.759687149689061e-05,COMPLETE
11,0.9393203883495146,2026-06-22 12:30:21.671223,2026-06-22 12:38:30.849059,0 days 00:08:09.177836,64,0.4787847505560598,224,0.0025503489379798167,6.380170568002987e-05,COMPLETE
12,0.9053398058252428,2026-06-22 12:38:30.885898,2026-06-22 12:46:30.735766,0 days 00:07:59.849868,64,0.3897828305261904,224,0.0026462101966750885,5.687486187684463e-05,COMPLETE
13,0.9053398058252428,2026-06-22 12:46:30.771032,2026-06-22 12:54:50.280603,0 days 00:08:19.509571,64,0.3991165452410997,224,0.0007451291542501707,2.0520194397087783e-05,COMPLETE
14,0.7864077669902912,2026-06-22 12:54:50.315187,2026-06-22 13:03:34.383685,0 days 00:08:44.068498,16,0.3944379128554185,224,0.006598424247255741,0.0003276286557684535,COMPLETE
15,0.9344660194174758,2026-06-22 13:03:34.418867,2026-06-22 13:11:40.298313,0 days 00:08:05.879446,64,0.43467735823520615,192,0.0018183320013855067,0.009639757903159522,COMPLETE
16,0.8349514563106796,2026-06-22 13:11:40.334702,2026-06-22 13:19:46.372192,0 days 00:08:06.037490,64,0.3262517021226219,224,2.40411109098908e-05,1.2653130267405912e-06,COMPLETE
17,0.9393203883495146,2026-06-22 13:19:46.417581,2026-06-22 13:28:17.359602,0 days 00:08:30.942021,16,0.49425756868116283,224,0.0005094514643247787,1.9701247124570146e-05,COMPLETE
18,0.9538834951456311,2026-06-22 13:28:17.394938,2026-06-22 13:36:59.747101,0 days 00:08:42.352163,16,0.3454272639828271,192,0.0010734364513424462,0.00017186772653901368,COMPLETE
19,0.9271844660194175,2026-06-22 13:36:59.786404,2026-06-22 13:45:24.087215,0 days 00:08:24.300811,64,0.44416046632125755,256,0.00031678144027322746,1.1259583826046886e-05,COMPLETE
